ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Description,gif file names,video files
1,3/4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,"

1. Start by lying on your back with your knees bent and feet flat on the ground. You can place your hands either on your chest, crossed over your stomach, or behind your head (without pulling on the neck).

2. Engage your core muscles by pulling your belly button towards your spine, keeping your lower back pressed against the floor or mat.

3. Slowly lift your upper body off the ground, curling your torso towards your thighs. Remember to keep your lower back on the floor to avoid straining it. It should feel like you are peeling your upper spine off the ground.

4. Continue the movement until your shoulder blades are a few inches off the ground. This is the 3/4 point of the sit-up, hence the exercise name.

5. Hold this position for a few seconds while squeezing your abdominal muscles.

6. Lower your upper body back down to the starting position in a controlled manner, keeping your core engaged.

",00011301-3-4-Sit-up_Waist_180.webp,00011201-3-4-Sit-up_Waist-FIX_.mp4
3,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis","1. Start by lying flat on your back on a mat or an exercise surface.

2. Place your hands gently behind your head, allowing your elbows to be slightly bent.

3. Lift your legs off the ground and bend your knees at a 90-degree angle, so your lower legs are parallel to the floor.

4. Simultaneously, lift your head, neck, and shoulders off the ground. Keep your core engaged throughout the exercise.

5. Begin the movement by straightening your left leg while simultaneously rotating your upper body to the left so that your right elbow meets your left knee.

6. As you complete the first movement, switch sides by bending your left knee and straightening your right leg while simultaneously rotating your upper body to the right so that your left elbow meets your right knee. This creates a cycling motion.

7. Continue alternating sides in a controlled and fluid manner, while maintaining proper form and engaging your abdominal muscles.

Note: It is crucial to maintain proper form and avoid excessive pulling on the neck during this exercise. If you're new to this movement, focus on executing it correctly rather than speed or volume.",00031301-air-bike-m_waist_FIX_180.webp,00031201-Air-Bike-(male)_Waist-FIX_.mp4
24,Barbell Bench Front Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus","1. Set up a barbell on a squat rack at chest height and load it with an appropriate weight.

2. Stand facing away from the barbell and position yourself in a shoulder-width stance.

3. Bend your knees and lower your body into a squat position, grabbing the barbell with an overhand grip just outside shoulder width.

4. Lift the barbell off the rack and walk a few steps forward, ensuring your feet are shoulder-width apart and your toes are pointing slightly outward.

5. Lower your body into a squat by bending your knees and hips, keeping your back straight and chest up. Continue descending until your thighs are parallel to the ground or lower.

6. Pause for a moment at the bottom of the squat and then push through your heels to rise back up to the starting position.

7. Once you are fully standing, carefully walk backward to return the barbell to the squat rack.

8. Repeat the exercise for the desired number of repetitions.",00241301-Barbell-Bench-Front-Squat_thighs_180.webp,
25,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii","1. Begin by lying flat on a weight bench, feet firmly planted on the ground and positioned at a shoulder-width distance apart.

2. Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Lift the barbell off the rack or have a spotter assist you in doing so.

3. Lower the barbell slowly towards your chest, keeping your elbows at a 45-degree angle. Lower the bar until it touches your chest lightly or until your upper arms are parallel to the floor.

4. Pause briefly at the bottom of the movement, then push the barbell back up, extending your arms fully without locking your elbows. Aim to keep your wrists straight and your core engaged throughout the movement.

5. Repeat the exercise for the desired number of repetitions, ensuring controlled and smooth movements. Once done, either have a spotter assist you in reracking the barbell or carefully do so yourself.",00251301-Barbell-Bench-Press_Chest-FIX2_180.webp,00251201-Barbell-Bench-Press_Chest-FIX2_.mp4
26,Barbell Bench Squat,Strength,Hips,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus","1. Set up a barbell on a squat rack at an appropriate height. Make sure the weight on the barbell is suitable for your training goals and capabilities.

2. Place a bench directly behind the squat rack, positioning it at a distance that allows you to comfortably sit down and stand up while keeping your feet grounded.

3. Position yourself under the barbell, ensuring that it rests across your upper back and shoulders. Grip the barbell with your hands at a distance that feels stable and comfortable.

4. Step out of the racked position and stand with your feet shoulder-width apart, toes pointing slightly outward. Take a deep breath, brace your core, and prepare to initiate the squat.

5. Lower yourself down towards the bench by bending your hips and knees, simulating a regular squatting motion. Try to maintain a neutral spine angle and keep your knees tracking in line with your toes.

6. Once your glutes touch the bench, pause briefly, maintaining tension in your legs and core. Avoid fully sitting down or relaxing on the bench.

7. Push through your feet and drive back up to the starting position, extending your knees and hips to stand tall. Remember to breathe out during this upward phase of the movement.

8. Repeat the squatting motion for the desired number of repetitions, ensuring proper form and control throughout the exercise.

9. After completing the set, carefully rack the barbell back on the squat rack, ensuring it is secure and stable.",00261301-Barbell-Bench-Squat_Hips-FIX_180.webp,00261201-Barbell-Bench-Squat_Hips_.mp4
27,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior","1. Start by standing with your feet shoulder-width apart, holding a barbell with an overhand grip, positioning your hands slightly wider than shoulder-width apart.

2. Bend your knees slightly and hinge forward at the hips, maintaining a straight back and keeping your core engaged. Your torso should be almost parallel to the floor, approximately at a 45-degree angle.

3. With your arms fully extended and perpendicular to the floor, lift the barbell towards your upper abdomen by pulling your elbows back. The movement should be initiated by squeezing your shoulder blades together.

4. Pause for a moment at the top of the movement when the barbell touches your abdomen, and then slowly lower the weight back to the starting position, maintaining control and avoiding any jerking or swinging motions.

5. Repeat the exercise for the desired number of repetitions, ensuring proper form and maintaining a stable lower back throughout the movement.

The barbell bent over row primarily targets the muscles of the upper back, including the rhomboids, trapezius, and latissimus dorsi. It also engages the biceps, rear deltoids, and core muscles as stabilizers.",00271301-Barbell-Bent-Over-Row_Back-FIX_180.webp,00271201-Barbell-Bent-Over-Row_Back_.mp4
30,Barbell Close-Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","1. Begin by setting up a barbell on a weight rack at a comfortable height. Position yourself on a workout bench, lying flat on your back.

2. Grab the barbell with a close grip, placing your hands slightly narrower than shoulder-width apart. Make sure your palms are facing forward, and your elbows are pointing down and tucked in towards your body.

3. Lower the barbell slowly and controlled towards your lower chest, while keeping your elbows close to your body throughout the movement. Aim to touch your chest lightly with the barbell.

4. Push the barbell back up to the starting position by extending your arms, but avoid fully locking out your elbows at the top. Maintain tension in your chest and triceps.

5. Repeat the movement for the desired number of repetitions, ensuring your form remains correct and your breathing is controlled.",00301301-Barbell-Close-Grip-Bench-Press_Upper-Arms-FIX_180.webp,00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms-FIX_.mp4
31,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis","1. Start by standing straight with your feet shoulder-width apart and hold a barbell with an underhand grip (palms facing upward) at shoulder-width distance.

2. Keep your elbows close to your torso and slowly curl the barbell upwards, ensuring that only your forearms are moving. Exhale as you lift.

3. Continue curling until the barbell reaches shoulder level and you feel a contraction in your biceps. Hold the position for a brief moment to maximize the muscle engagement.

4. Slowly lower the barbell back down to the starting position while inhaling. Make sure to maintain control and avoid using your momentum to swing the weight.

5. Repeat the movement for the desired number of repetitions. Adjust the resistance(weight) according to your fitness level and goals.",00311301-Barbell-Curl_Upper-Arms-FIX_180.webp,00311201-Barbell-Curl_Upper-Arms_without-weight.mp4
32,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus","1. Begin by standing with your feet hip-width apart and a loaded barbell on the floor in front of you. The barbell should be close to your shins.

2. With your arms extended and hands gripping the barbell just outside your legs, lower your hips and bend your knees, maintaining a neutral spine and a slight arch in your lower back.

3. Engage your core, push through your heels, and lift the barbell off the ground using your legs and glutes, extending your hips and knees until you are standing tall.

4. Pause for a moment at the top of the movement, ensuring that your shoulders are pulled back, and your torso is upright. Bring your scapulas together.

5. Lower the barbell back to the ground by hinging at your hips, pushing your hips back, and bending your knees, while keeping your back straight and core engaged.

6. Repeat the exercise for the desired number of reps, ensuring proper form throughout the movement.",00321301-Barbell-Deadlift_Hips-FIX2_180.webp,00321201-Barbell-Deadlift_Hips-FIX.mp4
33,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii","1. Begin by setting up a decline bench at a 30 to 45-degree angle. Secure your feet firmly on the foot pads provided to maintain stability during the exercise.

2. Position yourself on the bench with your head lower than your hips. Lie down on the bench and grab the barbell with an overhand grip slightly wider than shoulder-width apart. Your palms should face forward.

3. Lift the barbell off the rack and slowly lower it towards your lower chest, keeping your elbows tucked in close to your sides. Your upper arms should create a 45-degree angle with your torso.

4. As you lower the bar down, inhale and pause briefly when the barbell is just above your chest.

5. Push the barbell back up using your chest muscles, driving your elbows upwards. Exhale as you press the weight overhead.

6. Continue pressing the barbell up until your arms are fully extended, but avoid locking out your elbows.

7. Hold the bar at the top for a moment, squeezing your chest muscles, before slowly lowering the weight back down to the starting position.

8. Repeat the movement for the desired number of repetitions, maintaining control and proper form throughout the exercise.

Note: It is crucial to start with an appropriate weight that allows you to perform the exercise with correct form. If you are new to this exercise, it is advisable to have a spotter present for safety and assistance.",00331301-Barbell-Decline-Bench-Press_Chest-FIX_180.webp,00331201-Barbell-Decline-Bench-Press_Chest-FIX_.mp4
