ID,Name,Name_es,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
0001,3/4 Sit-up,3/4 Abdominal,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques
0002,45 Degree Side Bend,Flexión de tronco a 45 grados,Strength,Waist,Body weight,Male,Obliques,Iliopsoas
0003,Air bike,Bicicleta en el aire,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0006,Alternate Heel Touchers,Toque alterno de talones,Strength,Waist,Body weight,Male,Obliques,
0007,Alternate Lateral Pulldown,Polea lateral de brazo alternado,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0009,Assisted Chest Dip (kneeling),Dip de pecho asistido,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii"
0010,Assisted Hanging Knee Raise With Throw Down,Elevación de rodillas en barra asistida con lanzamiento,Strength,Waist,Assisted,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0011,Assisted Hanging Knee Raise,Elevación de rodillas en barra asistida,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae"
0012,Assisted Lying Leg Raise With Lateral Throw Down,Elevación de piernas acostado con lanzamiento lateral,Strength,Waist,Assisted,Male,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0013,Assisted Lying Leg Raise With Throw Down,Elevación de piernas acostado con lanzamiento,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0014,Assisted Motion Russian Twist,Giro ruso asistido,Strength,Waist,Medicine Ball,Male,Obliques,Rectus Abdominis
0015,Assisted Parallel Close Grip Pull-up,Dominada paralela asistida de agarre cerrado,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0016,Assisted Prone Hamstring,Flexión asistida de isquiotibiales,Strength,Thighs,Assisted,Male,Hamstrings,
0017,Assisted Pull-up,Dominada asistida,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0018,Assisted Standing Triceps Extension (with towel),Extensión de tríceps de pie asistida (con toalla),Strength,Upper Arms,Assisted,Male,Triceps Brachii,
0019,Assisted Triceps Dip (kneeling),Dip de tríceps asistido (arrodillado),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
0020,Balance Board,Tabla de equilibrio,Strength,Calves,Body weight,Male,"Adductor Longus, Adductor Magnus, Gastrocnemius, Gluteus Maximus, Quadriceps, Soleus",
