ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
1,3/4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques,00011301-3-4-Sit-up_Waist_180.webp
3,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",00031301-air-bike-m_waist_FIX_180.webp
24,Barbell Bench Front Squat,Strength,Thighs,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus",00241301-Barbell-Bench-Front-Squat_thighs_180.webp
25,Barbell Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",00251301-Barbell-Bench-Press_Chest-FIX2_180.webp
26,Barbell Bench Squat,Strength,Hips,Barbell,Male,Quadriceps,"Adductor Magnus, Soleus",00261301-Barbell-Bench-Squat_Hips-FIX_180.webp
27,Barbell Bent Over Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",00271301-Barbell-Bent-Over-Row_Back-FIX_180.webp
30,Barbell Close-Grip Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",00301301-Barbell-Close-Grip-Bench-Press_Upper-Arms-FIX_180.webp
31,Barbell Curl,Strength,Upper Arms,Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",00311301-Barbell-Curl_Upper-Arms-FIX_180.webp
32,Barbell Deadlift,Strength,Hips,Barbell,Male,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",00321301-Barbell-Deadlift_Hips-FIX2_180.webp
33,Barbell Decline Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",00331301-Barbell-Decline-Bench-Press_Chest-FIX_180.webp
34,Barbell Decline Bent Arm Pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii",00341301-Barbell-Decline-Bent-Arm-Pullover_Back_180.webp
35,Barbell Decline Close Grip To Skull Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,,00351301-Barbell-Decline-Close-Grip-To-Skull-Press_Upper-Arms_180.webp
36,Barbell Decline Wide-grip Press,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",00361301-Barbell-Decline-Wide-grip-Press_Chest_180.webp
37,Barbell Decline wide-grip pullover,Strength,Back,Barbell,Male,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",00371301-Barbell-Decline-wide-grip-pullover_Back_180.webp
